"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 15 14:55:39 GMT 2021","Thu Jul 15 14:55:39 GMT 2021","53","","io.qameta.allure.examples.junit5.AllureQuickStartTest","","io.qameta.allure.examples.junit5.AllureQuickStartTest","allureSimpleTest","allureSimpleTest displayName",""
"passed","Thu Jul 15 14:55:39 GMT 2021","Thu Jul 15 14:55:39 GMT 2021","1","","io.qameta.allure.examples.junit5.AllureLabelsTest","","io.qameta.allure.examples.junit5.AllureLabelsTest","customDynamicLabelTest","customDynamicLabelTest()",""
"passed","Thu Jul 15 14:55:39 GMT 2021","Thu Jul 15 14:55:39 GMT 2021","3","","io.qameta.allure.examples.junit5.AllureAttachmentTest","","io.qameta.allure.examples.junit5.AllureAttachmentTest","dynamicAttachmentTest","dynamicAttachmentTest()",""
"passed","Thu Jul 15 14:55:39 GMT 2021","Thu Jul 15 14:55:39 GMT 2021","2","","io.qameta.allure.examples.junit5.AllureLinkTest","","io.qameta.allure.examples.junit5.AllureLinkTest","staticLinkTest","staticLinkTest()",""
"passed","Thu Jul 15 14:55:39 GMT 2021","Thu Jul 15 14:55:39 GMT 2021","0","","io.qameta.allure.examples.junit5.AllureDescriptionTest","","io.qameta.allure.examples.junit5.AllureDescriptionTest","annotationDescriptionTest","annotationDescriptionTest()","Static description"
"passed","Thu Jul 15 14:55:39 GMT 2021","Thu Jul 15 14:55:39 GMT 2021","2","","io.qameta.allure.examples.junit5.AllureStepTest","","io.qameta.allure.examples.junit5.AllureStepTest","lambdaStepTest","lambdaStepTest()",""
"passed","Thu Jul 15 14:55:39 GMT 2021","Thu Jul 15 14:55:39 GMT 2021","1","","io.qameta.allure.examples.junit5.AllureParameterizedTest","","io.qameta.allure.examples.junit5.AllureParameterizedTest","allureParameterizedTest","allureParameterizedTest displayName [Mike]","allureParameterizedTest description"
"passed","Thu Jul 15 14:55:39 GMT 2021","Thu Jul 15 14:55:39 GMT 2021","12","","io.qameta.allure.examples.junit5.AllureAttachmentTest","","io.qameta.allure.examples.junit5.AllureAttachmentTest","annotatedAttachmentTest","annotatedAttachmentTest()",""
"passed","Thu Jul 15 14:55:39 GMT 2021","Thu Jul 15 14:55:39 GMT 2021","3","","io.qameta.allure.examples.junit5.AllureFixtureTest","","io.qameta.allure.examples.junit5.AllureFixtureTest","allureFixtureTest","allureFixtureTest()",""
"passed","Thu Jul 15 14:55:39 GMT 2021","Thu Jul 15 14:55:39 GMT 2021","1","","io.qameta.allure.examples.junit5.AllureTitleTest","","io.qameta.allure.examples.junit5.AllureTitleTest","dynamicTitleTest","Test with parameter [dynamic parameter]",""
"passed","Thu Jul 15 14:55:39 GMT 2021","Thu Jul 15 14:55:39 GMT 2021","1","","io.qameta.allure.examples.junit5.AllureDescriptionTest","","io.qameta.allure.examples.junit5.AllureDescriptionTest","dynamicDescriptionTest","dynamicDescriptionTest()","Dynamic description"
"passed","Thu Jul 15 14:55:39 GMT 2021","Thu Jul 15 14:55:39 GMT 2021","0","","io.qameta.allure.examples.junit5.AllureDescriptionTest","","io.qameta.allure.examples.junit5.AllureDescriptionTest","javadocDescriptionTest","javadocDescriptionTest()",""
"passed","Thu Jul 15 14:55:39 GMT 2021","Thu Jul 15 14:55:39 GMT 2021","0","","io.qameta.allure.examples.junit5.AllureLinkTest","","io.qameta.allure.examples.junit5.AllureLinkTest","staticLinksTest","staticLinksTest()",""
"passed","Thu Jul 15 14:55:39 GMT 2021","Thu Jul 15 14:55:39 GMT 2021","1","","io.qameta.allure.examples.junit5.AllureLabelsTest","","io.qameta.allure.examples.junit5.AllureLabelsTest","commonStaticLabelTest","commonStaticLabelTest()",""
"passed","Thu Jul 15 14:55:39 GMT 2021","Thu Jul 15 14:55:39 GMT 2021","4","","io.qameta.allure.examples.junit5.AllureStepTest","","io.qameta.allure.examples.junit5.AllureStepTest","annotatedStepTest","annotatedStepTest()",""
"passed","Thu Jul 15 14:55:39 GMT 2021","Thu Jul 15 14:55:39 GMT 2021","2","","io.qameta.allure.examples.junit5.AllureTitleTest","","io.qameta.allure.examples.junit5.AllureTitleTest","annotationTitleTest","Static name",""
"passed","Thu Jul 15 14:55:39 GMT 2021","Thu Jul 15 14:55:39 GMT 2021","30","","io.qameta.allure.examples.junit5.AllureParameterizedTest","","io.qameta.allure.examples.junit5.AllureParameterizedTest","allureParameterizedTest","allureParameterizedTest displayName [John]","allureParameterizedTest description"
"passed","Thu Jul 15 14:55:39 GMT 2021","Thu Jul 15 14:55:39 GMT 2021","2","","io.qameta.allure.examples.junit5.AllureLabelsTest","","io.qameta.allure.examples.junit5.AllureLabelsTest","customStaticLabelTest","customStaticLabelTest()",""
"passed","Thu Jul 15 14:55:39 GMT 2021","Thu Jul 15 14:55:39 GMT 2021","5","","io.qameta.allure.examples.junit5.AllureLabelsTest","","io.qameta.allure.examples.junit5.AllureLabelsTest","commonDynamicLabelTest","commonDynamicLabelTest()",""
"passed","Thu Jul 15 14:55:39 GMT 2021","Thu Jul 15 14:55:39 GMT 2021","1","","io.qameta.allure.examples.junit5.AllureParameterizedTest","","io.qameta.allure.examples.junit5.AllureParameterizedTest","allureFakeParameterizedTest","allureFakeParameterizedTest()",""
"passed","Thu Jul 15 14:55:39 GMT 2021","Thu Jul 15 14:55:39 GMT 2021","1","","io.qameta.allure.examples.junit5.AllureLinkTest","","io.qameta.allure.examples.junit5.AllureLinkTest","dynamicLinkTest","dynamicLinkTest()",""
